Tempo,Canal 0,Canal 1
1702557205.2911143,1.0,1.0
1702557205.2931144,1.0,1.0
1702557205.2951143,1.0,1.0
1702557205.2971144,1.0,1.0
1702557205.3021176,0.7898,0.8113
1702557205.30713,0.1251,0.0137
1702557205.3101225,0.0,0.0
1702557205.3121226,0.0,0.0
1702557205.3141217,0.0,0.0
1702557205.3201432,0.0,0.0
1702557205.324866,0.0,0.0
1702557205.3268642,0.0,0.0
1702557205.3288646,0.0,0.0
1702557205.330864,0.0,0.0
1702557205.3358746,0.0,0.0
1702557205.3427374,0.3744,0.348
1702557205.344733,1.0,1.0
1702557205.3467333,1.0,1.0
1702557205.3517408,1.0,1.0
1702557205.3567374,1.0,1.0
1702557205.358734,1.0,1.0
1702557205.361734,0.9462,0.9726
1702557205.363738,0.2669,0.2454
1702557205.367748,0.0,0.0
1702557205.3754756,0.0,0.0
1702557205.3774743,0.0,0.0
1702557205.3794744,0.0,0.0
1702557205.3824778,0.0,0.0
1702557205.3894813,0.0,0.0
1702557205.3914697,0.0,0.0
1702557205.393475,0.0,0.0
1702557205.3954694,0.1378,0.1212
1702557205.3984795,0.9032,1.0
1702557205.4024758,1.0,1.0
1702557205.409475,1.0,1.0
1702557205.4124703,1.0,1.0
1702557205.4154773,1.0,1.0
1702557205.422474,1.0,1.0
1702557205.4244695,0.4086,0.4545
1702557205.4264746,0.0,0.0
1702557205.4284694,0.0,0.0
1702557205.43147,0.0,0.0
1702557205.4374998,0.0,0.0
1702557205.4407575,0.0,0.0
1702557205.4427564,0.0,0.0
1702557205.444756,0.0,0.0
1702557205.446756,0.0,0.0
1702557205.4507656,0.0332,0.0127
1702557205.458759,0.7058,0.7869
1702557205.4607515,1.0,1.0
1702557205.4627516,1.0,1.0
1702557205.4667618,1.0,1.0
1702557205.4728498,1.0,1.0
1702557205.4748368,1.0,1.0
1702557205.4768367,1.0,1.0
1702557205.4788368,0.6373,0.6999
1702557205.4818428,0.0205,0.0
1702557205.4912004,0.0,0.0
1702557205.4931977,0.0,0.0
1702557205.4951973,0.0,0.0
1702557205.4971974,0.0,0.0
1702557205.5032253,0.0,0.0
1702557205.5074198,0.0,0.0
1702557205.5104158,0.0,0.0
1702557205.5124166,0.0059,0.0
1702557205.514415,0.5425,0.5044
1702557205.5174155,1.0,1.0
1702557205.5244162,1.0,1.0
1702557205.5264156,1.0,1.0
1702557205.5284154,1.0,1.0
1702557205.530415,1.0,1.0
1702557205.534411,0.8739,0.8983
1702557205.540757,0.1994,0.1007
1702557205.5433497,0.0,0.0
1702557205.5453491,0.0,0.0
1702557205.547349,0.0,0.0
1702557205.5533488,0.0,0.0
1702557205.5568006,0.0117,0.0
1702557205.558801,0.0,0.0
1702557205.5608003,0.0,0.0
